"items_accessInfo_accessViewStatus","items_accessInfo_country","items_accessInfo_embeddable","items_accessInfo_epub_acsTokenLink","items_accessInfo_epub_isAvailable","items_accessInfo_pdf_acsTokenLink","items_accessInfo_pdf_isAvailable","items_accessInfo_publicDomain","items_accessInfo_quoteSharingAllowed","items_accessInfo_textToSpeechPermission","items_accessInfo_viewability","items_accessInfo_webReaderLink","items_etag","items_id","items_kind","items_saleInfo_buyLink","items_saleInfo_country","items_saleInfo_isEbook","items_saleInfo_listPrice_amount","items_saleInfo_listPrice_currencyCode","items_saleInfo_offers_0_finskyOfferType","items_saleInfo_offers_0_giftable","items_saleInfo_offers_0_listPrice_amountInMicros","items_saleInfo_offers_0_listPrice_currencyCode","items_saleInfo_offers_0_retailPrice_amountInMicros","items_saleInfo_offers_0_retailPrice_currencyCode","items_saleInfo_retailPrice_amount","items_saleInfo_retailPrice_currencyCode","items_saleInfo_saleability","items_searchInfo_textSnippet","items_selfLink","items_volumeInfo_allowAnonLogging","items_volumeInfo_authors_0","items_volumeInfo_authors_1","items_volumeInfo_authors_2","items_volumeInfo_averageRating","items_volumeInfo_canonicalVolumeLink","items_volumeInfo_categories_0","items_volumeInfo_contentVersion","items_volumeInfo_description","items_volumeInfo_imageLinks_smallThumbnail","items_volumeInfo_imageLinks_thumbnail","items_volumeInfo_industryIdentifiers_0_identifier","items_volumeInfo_industryIdentifiers_0_type","items_volumeInfo_industryIdentifiers_1_identifier","items_volumeInfo_industryIdentifiers_1_type","items_volumeInfo_infoLink","items_volumeInfo_language","items_volumeInfo_maturityRating","items_volumeInfo_pageCount","items_volumeInfo_panelizationSummary_containsEpubBubbles","items_volumeInfo_panelizationSummary_containsImageBubbles","items_volumeInfo_previewLink","items_volumeInfo_printType","items_volumeInfo_publishedDate","items_volumeInfo_publisher","items_volumeInfo_ratingsCount","items_volumeInfo_readingModes_image","items_volumeInfo_readingModes_text","items_volumeInfo_subtitle","items_volumeInfo_title"
"SAMPLE","US","True","","False","","False","False","False","ALLOWED","ALL_PAGES","http://play.google.com/books/reader?id=wqeVv09Y6hIC&hl=&printsec=frontcover&source=gbs_api","/391crQQ48M","wqeVv09Y6hIC","books#volume","","US","False","","","","","","","","","","","NOT_FOR_SALE","","https://www.googleapis.com/books/v1/volumes/wqeVv09Y6hIC","False","Joseph Eddy Fontenrose","","","5.0","https://books.google.com/books/about/Python.html?hl=&id=wqeVv09Y6hIC","Social Science","0.0.1.0.preview.1","","http://books.google.com/books/content?id=wqeVv09Y6hIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=wqeVv09Y6hIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","0520040910","ISBN_10","9780520040915","ISBN_13","http://books.google.com/books?id=wqeVv09Y6hIC&dq=python&hl=&source=gbs_api","en","NOT_MATURE","616","","","http://books.google.com/books?id=wqeVv09Y6hIC&printsec=frontcover&dq=python&hl=&cd=1&source=gbs_api","BOOK","1959","Univ of California Press","2","True","False","A Study of Delphic Myth and Its Origins","Python"
"SAMPLE","US","True","http://books.google.com/books/download/Learn_Python_3_the_Hard_Way-sample-epub.acsm?id=93YpDwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api","True","http://books.google.com/books/download/Learn_Python_3_the_Hard_Way-sample-pdf.acsm?id=93YpDwAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api","True","False","False","ALLOWED_FOR_ACCESSIBILITY","PARTIAL","http://play.google.com/books/reader?id=93YpDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api","PMbTs/L9OL8","93YpDwAAQBAJ","books#volume","https://play.google.com/store/books/details?id=93YpDwAAQBAJ&rdid=book-93YpDwAAQBAJ&rdot=1&source=gbs_api","US","True","31.99","USD","1","True","31990000.0","USD","17270000.0","USD","17.27","USD","FOR_SALE","This Book Is Perfect For Total beginners with zero programming experience Junior developers who know one or two languages Returning professionals who haven’t written code in years Seasoned professionals looking for a fast, simple, crash ...","https://www.googleapis.com/books/v1/volumes/93YpDwAAQBAJ","True","Zed A. Shaw","","","5.0","https://market.android.com/details?id=book-93YpDwAAQBAJ","Computers","1.1.1.0.preview.3","You Will Learn Python 3! Zed Shaw has perfected the world’s best system for learning Python 3. Follow it and you will succeed—just like the millions of beginners Zed has taught to date! You bring the discipline, commitment, and persistence; the author supplies everything else. In Learn Python 3 the Hard Way, you’ll learn Python by working through 52 brilliantly crafted exercises. Read them. Type their code precisely. (No copying and pasting!) Fix your mistakes. Watch the programs run. As you do, you’ll learn how a computer works; what good programs look like; and how to read, write, and think about code. Zed then teaches you even more in 5+ hours of video where he shows you how to break, fix, and debug your code—live, as he’s doing the exercises. Install a complete Python environment Organize and write code Fix and break code Basic mathematics Variables Strings and text Interact with users Work with files Looping and logic Data structures using lists and dictionaries Program design Object-oriented programming Inheritance and composition Modules, classes, and objects Python packaging Automated testing Basic game development Basic web development It’ll be hard at first. But soon, you’ll just get it—and that will feel great! This course will reward you for every minute you put into it. Soon, you’ll know one of the world’s most powerful, popular programming languages. You’ll be a Python programmer. This Book Is Perfect For Total beginners with zero programming experience Junior developers who know one or two languages Returning professionals who haven’t written code in years Seasoned professionals looking for a fast, simple, crash course in Python 3","http://books.google.com/books/content?id=93YpDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=93YpDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","9780134693903","ISBN_13","0134693906","ISBN_10","https://play.google.com/store/books/details?id=93YpDwAAQBAJ&source=gbs_api","en","NOT_MATURE","320","False","False","http://books.google.com/books?id=93YpDwAAQBAJ&printsec=frontcover&dq=python&hl=&cd=3&source=gbs_api","BOOK","2017-07-07","Addison-Wesley Professional","1","True","True","A Very Simple Introduction to the Terrifyingly Beautiful World of Computers and Code","Learn Python 3 the Hard Way"
"SAMPLE","US","True","","True","","True","False","False","ALLOWED","PARTIAL","http://play.google.com/books/reader?id=GOVOCwAAQBAJ&hl=&printsec=frontcover&source=gbs_api","XYA3A7mBGv0","GOVOCwAAQBAJ","books#volume","https://play.google.com/store/books/details?id=GOVOCwAAQBAJ&rdid=book-GOVOCwAAQBAJ&rdot=1&source=gbs_api","US","True","35.99","USD","1","True","35990000.0","USD","22390000.0","USD","22.39","USD","FOR_SALE","Unlock deeper insights into Machine Leaning with this vital guide to cutting-edge predictive analytics About This Book Leverage Python&#39;s most powerful open-source libraries for deep learning, data wrangling, and data visualization Learn ...","https://www.googleapis.com/books/v1/volumes/GOVOCwAAQBAJ","True","Sebastian Raschka","","","5.0","https://market.android.com/details?id=book-GOVOCwAAQBAJ","Computers","2.5.5.0.preview.3","Unlock deeper insights into Machine Leaning with this vital guide to cutting-edge predictive analytics About This Book Leverage Python's most powerful open-source libraries for deep learning, data wrangling, and data visualization Learn effective strategies and best practices to improve and optimize machine learning systems and algorithms Ask – and answer – tough questions of your data with robust statistical models, built for a range of datasets Who This Book Is For If you want to find out how to use Python to start answering critical questions of your data, pick up Python Machine Learning – whether you want to get started from scratch or want to extend your data science knowledge, this is an essential and unmissable resource. What You Will Learn Explore how to use different machine learning models to ask different questions of your data Learn how to build neural networks using Keras and Theano Find out how to write clean and elegant Python code that will optimize the strength of your algorithms Discover how to embed your machine learning model in a web application for increased accessibility Predict continuous target outcomes using regression analysis Uncover hidden patterns and structures in data with clustering Organize data using effective pre-processing techniques Get to grips with sentiment analysis to delve deeper into textual and social media data In Detail Machine learning and predictive analytics are transforming the way businesses and other organizations operate. Being able to understand trends and patterns in complex data is critical to success, becoming one of the key strategies for unlocking growth in a challenging contemporary marketplace. Python can help you deliver key insights into your data – its unique capabilities as a language let you build sophisticated algorithms and statistical models that can reveal new perspectives and answer key questions that are vital for success. Python Machine Learning gives you access to the world of predictive analytics and demonstrates why Python is one of the world's leading data science languages. If you want to ask better questions of data, or need to improve and extend the capabilities of your machine learning systems, this practical data science book is invaluable. Covering a wide range of powerful Python libraries, including scikit-learn, Theano, and Keras, and featuring guidance and tips on everything from sentiment analysis to neural networks, you'll soon be able to answer some of the most important questions facing you and your organization. Style and approach Python Machine Learning connects the fundamental theoretical principles behind machine learning to their practical application in a way that focuses you on asking and answering the right questions. It walks you through the key elements of Python and its powerful machine learning libraries, while demonstrating how to get to grips with a range of statistical models.","http://books.google.com/books/content?id=GOVOCwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=GOVOCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","9781783555147","ISBN_13","1783555149","ISBN_10","https://play.google.com/store/books/details?id=GOVOCwAAQBAJ&source=gbs_api","en","NOT_MATURE","454","False","False","http://books.google.com/books?id=GOVOCwAAQBAJ&printsec=frontcover&dq=python&hl=&cd=4&source=gbs_api","BOOK","2015-09-23","Packt Publishing Ltd","2","True","True","","Python Machine Learning"
"SAMPLE","US","True","","True","","True","False","False","ALLOWED","PARTIAL","http://play.google.com/books/reader?id=pMEUG8oNBfkC&hl=&printsec=frontcover&source=gbs_api","cW0/zWdkpvA","pMEUG8oNBfkC","books#volume","","US","False","","","","","","","","","","","NOT_FOR_SALE","Introduces the basics of the Python programming language, covering how to use data structures, organize and reuse code, draw shapes and patterns with turtle, and create games and animations with tkinter.","https://www.googleapis.com/books/v1/volumes/pMEUG8oNBfkC","True","Jason R. Briggs","","","5.0","https://books.google.com/books/about/Python_for_Kids.html?hl=&id=pMEUG8oNBfkC","Juvenile Nonfiction","2.7.5.0.preview.3","Introduces the basics of the Python programming language, covering how to use data structures, organize and reuse code, draw shapes and patterns with turtle, and create games and animations with tkinter.","http://books.google.com/books/content?id=pMEUG8oNBfkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=pMEUG8oNBfkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","9781593274078","ISBN_13","1593274076","ISBN_10","http://books.google.com/books?id=pMEUG8oNBfkC&dq=python&hl=&source=gbs_api","en","NOT_MATURE","344","False","False","http://books.google.com/books?id=pMEUG8oNBfkC&printsec=frontcover&dq=python&hl=&cd=7&source=gbs_api","BOOK","2013","No Starch Press","1","True","True","A Playful Introduction to Programming","Python for Kids"
"SAMPLE","US","True","","True","","True","False","False","ALLOWED","PARTIAL","http://play.google.com/books/reader?id=v3n4_AK8vu0C&hl=&printsec=frontcover&source=gbs_api","YV+KHxdPTFg","v3n4_AK8vu0C","books#volume","https://play.google.com/store/books/details?id=v3n4_AK8vu0C&rdid=book-v3n4_AK8vu0C&rdot=1&source=gbs_api","US","True","31.99","USD","1","True","31990000.0","USD","17270000.0","USD","17.27","USD","FOR_SALE","This is a book about the parts of the Python language and libraries you’ll need to effectively solve a broad set of data analysis problems. This book is not an exposition on analytical methods using Python as the implementation language.","https://www.googleapis.com/books/v1/volumes/v3n4_AK8vu0C","True","Wes McKinney","","","5.0","https://market.android.com/details?id=book-v3n4_AK8vu0C","Computers","4.9.7.0.preview.3","Python for Data Analysis is concerned with the nuts and bolts of manipulating, processing, cleaning, and crunching data in Python. It is also a practical, modern introduction to scientific computing in Python, tailored for data-intensive applications. This is a book about the parts of the Python language and libraries you’ll need to effectively solve a broad set of data analysis problems. This book is not an exposition on analytical methods using Python as the implementation language. Written by Wes McKinney, the main author of the pandas library, this hands-on book is packed with practical cases studies. It’s ideal for analysts new to Python and for Python programmers new to scientific computing. Use the IPython interactive shell as your primary development environment Learn basic and advanced NumPy (Numerical Python) features Get started with data analysis tools in the pandas library Use high-performance tools to load, clean, transform, merge, and reshape data Create scatter plots and static or interactive visualizations with matplotlib Apply the pandas groupby facility to slice, dice, and summarize datasets Measure data by points in time, whether it’s specific instances, fixed periods, or intervals Learn how to solve problems in web analytics, social sciences, finance, and economics, through detailed examples","http://books.google.com/books/content?id=v3n4_AK8vu0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=v3n4_AK8vu0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","9781449323615","ISBN_13","1449323618","ISBN_10","https://play.google.com/store/books/details?id=v3n4_AK8vu0C&source=gbs_api","en","NOT_MATURE","466","False","False","http://books.google.com/books?id=v3n4_AK8vu0C&printsec=frontcover&dq=python&hl=&cd=9&source=gbs_api","BOOK","2012-10-08","""O'Reilly Media, Inc.""","1","True","True","Data Wrangling with Pandas, NumPy, and IPython","Python for Data Analysis"
"SAMPLE","US","True","","False","","False","False","False","ALLOWED","PARTIAL","http://play.google.com/books/reader?id=g5IwPuBYcfYC&hl=&printsec=frontcover&source=gbs_api","TlnfW68pegE","g5IwPuBYcfYC","books#volume","","US","False","","","","","","","","","","","NOT_FOR_SALE","With its flexibility, readability, and maturecode libraries, Python is a naturalchoice for developing agile and maintainableweb applications.","https://www.googleapis.com/books/v1/volumes/g5IwPuBYcfYC","False","Liza Daly","","","5.0","https://books.google.com/books/about/Next_Generation_Web_Frameworks_in_Python.html?hl=&id=g5IwPuBYcfYC","Computers","preview-1.0.0","With its flexibility, readability, and maturecode libraries, Python is a naturalchoice for developing agile and maintainableweb applications. Severalframeworks have emerged in the last fewyears that share ideas with Ruby on Railsand leverage the expressive nature of Python.This Short Cut will tell you whatyou need to know about the hottest fullstackframeworks: Django, Pylons, andTurboGears. Their philosophies, relativestrengths, and development status aredescribed in detail. What you won't find out is, ""Which oneshould I use?"" The short answer is thatall of them can be used to build web applications-the challenge for the readeris to find the one that fits his or herproject or coding style best.","http://books.google.com/books/content?id=g5IwPuBYcfYC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=g5IwPuBYcfYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","9780596513719","ISBN_13","0596513712","ISBN_10","http://books.google.com/books?id=g5IwPuBYcfYC&dq=python&hl=&source=gbs_api","en","NOT_MATURE","43","","","http://books.google.com/books?id=g5IwPuBYcfYC&printsec=frontcover&dq=python&hl=&cd=20&source=gbs_api","BOOK","2007-04-18","""O'Reilly Media, Inc.""","1","True","False","","Next-Generation Web Frameworks in Python"
"SAMPLE","US","True","","True","","True","False","False","ALLOWED","PARTIAL","http://play.google.com/books/reader?id=KGIbfiiP1i4C&hl=&printsec=frontcover&source=gbs_api","bVmaJMWKamk","KGIbfiiP1i4C","books#volume","https://play.google.com/store/books/details?id=KGIbfiiP1i4C&rdid=book-KGIbfiiP1i4C&rdot=1&source=gbs_api","US","True","35.99","USD","1","True","35990000.0","USD","19790000.0","USD","19.79","USD","FOR_SALE","This book offers a highly accessible introduction to natural language processing, the field that supports a variety of language technologies, from predictive text and email filtering to automatic summarization and translation.","https://www.googleapis.com/books/v1/volumes/KGIbfiiP1i4C","True","Steven Bird","Ewan Klein","Edward Loper","4.5","https://market.android.com/details?id=book-KGIbfiiP1i4C","Computers","0.3.4.0.preview.3","This book offers a highly accessible introduction to natural language processing, the field that supports a variety of language technologies, from predictive text and email filtering to automatic summarization and translation. With it, you'll learn how to write Python programs that work with large collections of unstructured text. You'll access richly annotated datasets using a comprehensive range of linguistic data structures, and you'll understand the main algorithms for analyzing the content and structure of written communication. Packed with examples and exercises, Natural Language Processing with Python will help you: Extract information from unstructured text, either to guess the topic or identify ""named entities"" Analyze linguistic structure in text, including parsing and semantic analysis Access popular linguistic databases, including WordNet and treebanks Integrate techniques drawn from fields as diverse as linguistics and artificial intelligence This book will help you gain practical skills in natural language processing using the Python programming language and the Natural Language Toolkit (NLTK) open source library. If you're interested in developing web applications, analyzing multilingual news sources, or documenting endangered languages -- or if you're simply curious to have a programmer's perspective on how human language works -- you'll find Natural Language Processing with Python both fascinating and immensely useful.","http://books.google.com/books/content?id=KGIbfiiP1i4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=KGIbfiiP1i4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","9780596555719","ISBN_13","0596555717","ISBN_10","https://play.google.com/store/books/details?id=KGIbfiiP1i4C&source=gbs_api","en","NOT_MATURE","504","False","False","http://books.google.com/books?id=KGIbfiiP1i4C&printsec=frontcover&dq=python&hl=&cd=5&source=gbs_api","BOOK","2009-06-12","""O'Reilly Media, Inc.""","5","True","True","Analyzing Text with the Natural Language Toolkit","Natural Language Processing with Python"
"SAMPLE","US","True","","False","","False","False","False","ALLOWED_FOR_ACCESSIBILITY","PARTIAL","http://play.google.com/books/reader?id=GxKWdn7u4w8C&hl=&printsec=frontcover&source=gbs_api","d0qFVqsWxdY","GxKWdn7u4w8C","books#volume","","US","False","","","","","","","","","","","NOT_FOR_SALE","A companion Web site (http: //gnosis.cx/TPiP) contains source code and examples from the book. Here is some of what you will find in thie book: When do I use formal parsers to process structured and semi-structured data?","https://www.googleapis.com/books/v1/volumes/GxKWdn7u4w8C","False","David Mertz","","","4.5","https://books.google.com/books/about/Text_Processing_in_Python.html?hl=&id=GxKWdn7u4w8C","Computers","1.0.0.0.preview.1","bull; Demonstrates how Python is the perfect language for text-processing functions. bull; Provides practical pointers and tips that emphasize efficient, flexible, and maintainable approaches to text-processing challenges. bull; Helps programmers develop solutions for dealing with the increasing amounts of data with which we are all inundated.","http://books.google.com/books/content?id=GxKWdn7u4w8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=GxKWdn7u4w8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","0321112547","ISBN_10","9780321112545","ISBN_13","http://books.google.com/books?id=GxKWdn7u4w8C&dq=python&hl=&source=gbs_api","en","NOT_MATURE","520","","","http://books.google.com/books?id=GxKWdn7u4w8C&printsec=frontcover&dq=python&hl=&cd=13&source=gbs_api","BOOK","2003","Addison-Wesley Professional","2","True","False","","Text Processing in Python"
"SAMPLE","US","True","","True","","True","False","False","ALLOWED","PARTIAL","http://play.google.com/books/reader?id=UEu0CAAAQBAJ&hl=&printsec=frontcover&source=gbs_api","Fy7zGoQW8y4","UEu0CAAAQBAJ","books#volume","","US","False","","","","","","","","","","","NOT_FOR_SALE","Even if you’ve never written a line of code, you can make your computer do the grunt work. Learn how in Automate the Boring Stuff with Python. Note: The programs in this book are written to run on Python 3.","https://www.googleapis.com/books/v1/volumes/UEu0CAAAQBAJ","True","Al Sweigart","","","4.5","https://books.google.com/books/about/Automate_the_Boring_Stuff_with_Python.html?hl=&id=UEu0CAAAQBAJ","Computers","1.1.1.0.preview.3","If you’ve ever spent hours renaming files or updating hundreds of spreadsheet cells, you know how tedious tasks like these can be. But what if you could have your computer do them for you? In Automate the Boring Stuff with Python, you’ll learn how to use Python to write programs that do in minutes what would take you hours to do by hand—no prior programming experience required. Once you’ve mastered the basics of programming, you’ll create Python programs that effortlessly perform useful and impressive feats of automation to: Search for text in a file or across multiple filesCreate, update, move, and rename files and foldersSearch the Web and download online contentUpdate and format data in Excel spreadsheets of any sizeSplit, merge, watermark, and encrypt PDFsSend reminder emails and text notificationsFill out online forms Step-by-step instructions walk you through each program, and practice projects at the end of each chapter challenge you to improve those programs and use your newfound skills to automate similar tasks. Don’t spend your time doing work a well-trained monkey could do. Even if you’ve never written a line of code, you can make your computer do the grunt work. Learn how in Automate the Boring Stuff with Python. Note: The programs in this book are written to run on Python 3.","http://books.google.com/books/content?id=UEu0CAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=UEu0CAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","9781593275990","ISBN_13","1593275994","ISBN_10","http://books.google.com/books?id=UEu0CAAAQBAJ&dq=python&hl=&source=gbs_api","en","NOT_MATURE","504","False","False","http://books.google.com/books?id=UEu0CAAAQBAJ&printsec=frontcover&dq=python&hl=&cd=22&source=gbs_api","BOOK","2015-04-14","No Starch Press","2","True","True","Practical Programming for Total Beginners","Automate the Boring Stuff with Python"
"SAMPLE","US","True","","False","","False","False","False","ALLOWED_FOR_ACCESSIBILITY","PARTIAL","http://play.google.com/books/reader?id=Chr1NDlUcI8C&hl=&printsec=frontcover&source=gbs_api","oiA98khG73g","Chr1NDlUcI8C","books#volume","","US","False","","","","","","","","","","","NOT_FOR_SALE","Presents a guide to the features and library modules of the Python programming language.","https://www.googleapis.com/books/v1/volumes/Chr1NDlUcI8C","True","David M. Beazley","","","4.5","https://books.google.com/books/about/Python_Essential_Reference.html?hl=&id=Chr1NDlUcI8C","Computers","0.3.2.0.preview.3","Presents a guide to the features and library modules of the Python programming language.","http://books.google.com/books/content?id=Chr1NDlUcI8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=Chr1NDlUcI8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","9780672329784","ISBN_13","0672329786","ISBN_10","http://books.google.com/books?id=Chr1NDlUcI8C&dq=python&hl=&source=gbs_api","en","NOT_MATURE","717","","","http://books.google.com/books?id=Chr1NDlUcI8C&printsec=frontcover&dq=python&hl=&cd=23&source=gbs_api","BOOK","2009","Addison-Wesley Professional","8","True","True","","Python Essential Reference"
